asin,sales_rank_sports_etc
B006QF3TW4,1
B00JU3XH9Y,2
B00JU4BWJU,2
B00JU3XHCG,2
B00JU3XH7Q,2
B00JU3XHDK,2
B00JU4BWP4,2
B000NLA4PM,3
B001YK4M18,4
B007Y8YJ62,6
B009AX7ABU,6
B00FA2RLX2,8
B00DDBS2JE,9
B00EV2E4WI,9
B001BZK8S2,10
B000KIMTCY,12
B00A6TBITM,13
7245456313,15
B000AO5L8W,15
B00I89MAKS,15
B00DMIEZEO,16
B003J44Y74,17
B003J9E6B8,17
B003J9DGIC,17
B003J9M6I8,17
B003J9PT82,17
B003J9L70G,17
B003J9LZE4,17
B003J9N7VI,17
B003J9HKYI,17
B001EJMS6K,18
B00IKJ1OIU,20
B00IKJ1PVG,20
B00IKJ1JNA,20
B00IKJ1IKY,20
B00IKJ1EMG,20
B00IKJ1QXI,20
B001ANQVYU,21
B001ANQVZE,21
B005YPK8G2,23
B000EH0NLK,25
B002QSE8RA,26
B000BNYYAS,27
B007WHDA4M,31
B007WHCFC0,31
B007WHD1BE,31
B007WHCT5S,31
B007WHDGXW,31
B007WHDMX6,31
B00FK8WT38,31
B00FK8WUQY,31
B00FK8WXW0,31
B001CZ9MRY,33
B001GFFRP6,36
B001GFLSJA,36
B001GFLSIQ,36
B001LF3FR8,37
B001LF3FQ4,37
B001LF3FQE,37
B001LF3FQY,37
B001LF3FQO,37
B000VDTECQ,39
B000VDTEDA,39
B000VDXFU8,39
B00BM6WLVW,40
B00BM6WLT4,40
B00BM6WLSK,40
B00IT2WQ6W,40
B00AWRSMRE,43
B00CWVP9YC,43
B00CWVPAU0,43
B00CWVPDKM,43
B00CWVPCLM,43
B00CWVP8PC,43
B002CLQ1T4,44
B002CLQ1NA,44
B002CLQ1Q2,44
B00H7SK84G,46
B00H7SK7YW,46
B00H7SK80K,46
B008YV3L9E,48
B008YV3LOE,48
B008YV3MBG,48
B008YV3MPW,48
B00004YVAJ,49
B00004YVB2,49
B00004YVB3,49
B00904UDM2,52
B00904UF16,52
B001RJ4Q2G,53
B003C03N5Y,53
B005BE2WWE,53
B005BE2WM4,53
B005BE2X4G,53
B00904UBI8,53
B001HBHNHE,60
B0012Q2S4W,61
B006ZT8NJA,62
B006ZT8912,62
B006ZT8XBS,62
